L/h1,A2/A1,Cpr
0.8847830419875843,1.3881965676422467,0.3
1.0752875284464698,1.432445355864488,0.325
1.306809934145124,1.4840040826184395,0.35
1.5731463706096789,1.5417099497415472,0.375
1.884778337102648,1.6006315176052346,0.4
2.2261517254014773,1.659740189073815,0.425
2.641890398529864,1.734941018605446,0.45
3.135269172448496,1.7997252853673182,0.475
3.7031330106295486,1.8784269481544555,0.5
4.353095892614922,1.9694127213224557,0.525
5.020707615200385,2.0548654185466155,0.55
5.846052890638291,2.158675644352014,0.575
6.8070752211640775,2.254908259012576,0.6
8.194401801549313,2.417771517699605,0.625
9.771086264810732,2.5646215636647094,0.65
11.486078237978992,2.7185973362782576,0.675
13.374254394328968,2.878887235973127,0.7
18.219260918660805,3.2562754646140384,0.725
23.220637539406415,3.5852414709485942,0.75